purpose_text,transaction_type,tokens
mobile enefit bill april,utilities,"['mobile', 'en', '##ef', '##it', 'bill', 'april']"
rent august payment,rent,"['rent', 'august', 'payment']"
flight london fee eur,travel,"['flight', 'london', 'fee', 'eu', '##r']"
,groceries,[]
unknown,utilities,['unknown']
mobile enefit bill august eur,utilities,"['mobile', 'en', '##ef', '##it', 'bill', 'august', 'eu', '##r']"
water utilityco bill june,utilities,"['water', 'utility', '##co', 'bill', 'june']"
unknown,travel,['unknown']
disney subscription fee,subscription,"['disney', 'subscription', 'fee']"
aldi groceries transfer,groceries,"['al', '##di', 'groceries', 'transfer']"
rent march fee eur,rent,"['rent', 'march', 'fee', 'eu', '##r']"
lidl groceries fee eur,groceries,"['lid', '##l', 'groceries', 'fee', 'eu', '##r']"
unexpected expense transfer,other,"['unexpected', 'expense', 'transfer']"
rimi groceries fee eur,groceries,"['rim', '##i', 'groceries', 'fee', 'eu', '##r']"
train berlin bill,travel,"['train', 'berlin', 'bill']"
rent july payment eur,rent,"['rent', 'july', 'payment', 'eu', '##r']"
,rent,[]
unknown,travel,['unknown']
google one subscription payment eur,subscription,"['google', 'one', 'subscription', 'payment', 'eu', '##r']"
concert bill eur,entertainment,"['concert', 'bill', 'eu', '##r']"
unexpected expense payment,other,"['unexpected', 'expense', 'payment']"
spotify subscription invoice,subscription,"['spot', '##ify', 'subscription', 'in', '##vo', '##ice']"
mobile telia bill december,utilities,"['mobile', 'tel', '##ia', 'bill', 'december']"
water elisa bill october,utilities,"['water', 'elisa', 'bill', 'october']"
train london transfer,travel,"['train', 'london', 'transfer']"
local market groceries invoice eur,groceries,"['local', 'market', 'groceries', 'in', '##vo', '##ice', 'eu', '##r']"
general expense payment eur,other,"['general', 'expense', 'payment', 'eu', '##r']"
flight boston invoice,travel,"['flight', 'boston', 'in', '##vo', '##ice']"
rent october fee,rent,"['rent', 'october', 'fee']"
rent august bill eur,rent,"['rent', 'august', 'bill', 'eu', '##r']"
gas enefit bill april,utilities,"['gas', 'en', '##ef', '##it', 'bill', 'april']"
taxi tallinn bill,travel,"['taxi', 'tallinn', 'bill']"
rent february bill eur,rent,"['rent', 'february', 'bill', 'eu', '##r']"
gas telia bill june eur,utilities,"['gas', 'tel', '##ia', 'bill', 'june', 'eu', '##r']"
amazon prime subscription payment eur,subscription,"['amazon', 'prime', 'subscription', 'payment', 'eu', '##r']"
hotel riga transfer,travel,"['hotel', 'riga', 'transfer']"
disney subscription payment,subscription,"['disney', 'subscription', 'payment']"
train tartu invoice,travel,"['train', 'tar', '##tu', 'in', '##vo', '##ice']"
hotel boston transfer,travel,"['hotel', 'boston', 'transfer']"
,utilities,[]
train riga bill,travel,"['train', 'riga', 'bill']"
train tokyo payment,travel,"['train', 'tokyo', 'payment']"
internet elisa bill june,utilities,"['internet', 'elisa', 'bill', 'june']"
taxi tokyo fee eur,travel,"['taxi', 'tokyo', 'fee', 'eu', '##r']"
flight paris invoice,travel,"['flight', 'paris', 'in', '##vo', '##ice']"
spar groceries transfer eur,groceries,"['spa', '##r', 'groceries', 'transfer', 'eu', '##r']"
unknown,rent,['unknown']
,subscription,[]
internet enefit bill july,utilities,"['internet', 'en', '##ef', '##it', 'bill', 'july']"
unknown,groceries,['unknown']
mobile utilityco bill october eur,utilities,"['mobile', 'utility', '##co', 'bill', 'october', 'eu', '##r']"
general expense invoice eur,other,"['general', 'expense', 'in', '##vo', '##ice', 'eu', '##r']"
spar groceries invoice eur,groceries,"['spa', '##r', 'groceries', 'in', '##vo', '##ice', 'eu', '##r']"
flight boston invoice eur,travel,"['flight', 'boston', 'in', '##vo', '##ice', 'eu', '##r']"
google one subscription invoice eur,subscription,"['google', 'one', 'subscription', 'in', '##vo', '##ice', 'eu', '##r']"
wolt market groceries invoice,groceries,"['wo', '##lt', 'market', 'groceries', 'in', '##vo', '##ice']"
online store groceries invoice eur,groceries,"['online', 'store', 'groceries', 'in', '##vo', '##ice', 'eu', '##r']"
unknown,rent,['unknown']
tickets payment eur,entertainment,"['tickets', 'payment', 'eu', '##r']"
unexpected expense invoice eur,other,"['unexpected', 'expense', 'in', '##vo', '##ice', 'eu', '##r']"
hotel helsinki bill,travel,"['hotel', 'helsinki', 'bill']"
unknown,groceries,['unknown']
prisma groceries payment eur,groceries,"['prism', '##a', 'groceries', 'payment', 'eu', '##r']"
adobe subscription fee,subscription,"['adobe', 'subscription', 'fee']"
train helsinki fee,travel,"['train', 'helsinki', 'fee']"
unknown,utilities,['unknown']
taxi london fee eur,travel,"['taxi', 'london', 'fee', 'eu', '##r']"
heating utilityco bill september eur,utilities,"['heating', 'utility', '##co', 'bill', 'september', 'eu', '##r']"
flight london payment eur,travel,"['flight', 'london', 'payment', 'eu', '##r']"
rent december transfer eur,rent,"['rent', 'december', 'transfer', 'eu', '##r']"
netflix subscription bill eur,subscription,"['netflix', 'subscription', 'bill', 'eu', '##r']"
tickets transfer eur,entertainment,"['tickets', 'transfer', 'eu', '##r']"
youtube subscription invoice eur,subscription,"['youtube', 'subscription', 'in', '##vo', '##ice', 'eu', '##r']"
internet enefit bill september,utilities,"['internet', 'en', '##ef', '##it', 'bill', 'september']"
unknown,travel,['unknown']
heating enefit bill september,utilities,"['heating', 'en', '##ef', '##it', 'bill', 'september']"
internet utilityco bill june,utilities,"['internet', 'utility', '##co', 'bill', 'june']"
water enefit bill january,utilities,"['water', 'en', '##ef', '##it', 'bill', 'january']"
museum bill eur,entertainment,"['museum', 'bill', 'eu', '##r']"
internet utilityco bill march eur,utilities,"['internet', 'utility', '##co', 'bill', 'march', 'eu', '##r']"
restaurant payment,entertainment,"['restaurant', 'payment']"
internet utilityco bill august,utilities,"['internet', 'utility', '##co', 'bill', 'august']"
taxi berlin bill eur,travel,"['taxi', 'berlin', 'bill', 'eu', '##r']"
misc expense transfer,other,"['mis', '##c', 'expense', 'transfer']"
heating telia bill march,utilities,"['heating', 'tel', '##ia', 'bill', 'march']"
mobile citywater bill july eur,utilities,"['mobile', 'city', '##water', 'bill', 'july', 'eu', '##r']"
flight riga bill,travel,"['flight', 'riga', 'bill']"
lidl groceries fee,groceries,"['lid', '##l', 'groceries', 'fee']"
maxima groceries transfer eur,groceries,"['maxim', '##a', 'groceries', 'transfer', 'eu', '##r']"
,groceries,[]
museum transfer eur,entertainment,"['museum', 'transfer', 'eu', '##r']"
cinema invoice,entertainment,"['cinema', 'in', '##vo', '##ice']"
selver groceries payment eur,groceries,"['se', '##lver', 'groceries', 'payment', 'eu', '##r']"
internet enefit bill november eur,utilities,"['internet', 'en', '##ef', '##it', 'bill', 'november', 'eu', '##r']"
rent july invoice eur,rent,"['rent', 'july', 'in', '##vo', '##ice', 'eu', '##r']"
unknown,travel,['unknown']
disney subscription fee eur,subscription,"['disney', 'subscription', 'fee', 'eu', '##r']"
internet telia bill august,utilities,"['internet', 'tel', '##ia', 'bill', 'august']"
heating elisa bill july,utilities,"['heating', 'elisa', 'bill', 'july']"
hotel tartu transfer,travel,"['hotel', 'tar', '##tu', 'transfer']"
taxi paris bill,travel,"['taxi', 'paris', 'bill']"
wolt market groceries transfer,groceries,"['wo', '##lt', 'market', 'groceries', 'transfer']"
prisma groceries transfer,groceries,"['prism', '##a', 'groceries', 'transfer']"
restaurant bill eur,entertainment,"['restaurant', 'bill', 'eu', '##r']"
online store groceries payment eur,groceries,"['online', 'store', 'groceries', 'payment', 'eu', '##r']"
mobile telia bill march,utilities,"['mobile', 'tel', '##ia', 'bill', 'march']"
unknown,utilities,['unknown']
maxima groceries fee,groceries,"['maxim', '##a', 'groceries', 'fee']"
cinema payment eur,entertainment,"['cinema', 'payment', 'eu', '##r']"
disney subscription invoice eur,subscription,"['disney', 'subscription', 'in', '##vo', '##ice', 'eu', '##r']"
rent november bill eur,rent,"['rent', 'november', 'bill', 'eu', '##r']"
